recipe_id,quantity,ingredient,failed
453467,5,cups    white sugar,NA
453467,5,cups    brown sugar,NA
453467,3,teaspoons    salt,NA
453467,1400,"g    margarine, softened",NA
453467,12,eggs,NA
453467,4,tablespoons    vanilla,NA
453467,1,cup    water,NA
453467,8,cups    all-purpose flour,NA
453467,8,cups    whole wheat flour,NA
453467,3,tablespoons    baking soda,NA
453467,12,cups    chocolate chips,NA
177187,2,cups    butter,NA
177187,2,cups    brown sugar,NA
177187,2,teaspoons    vanilla,NA
177187,5,cups    blended oatmeal,NA
177187,1,teaspoon    baking soda,NA
177187,1,(8   ounce)   grated Hershey chocolate candy bars,NA
177187,3,cups   chopped nuts,NA
177187,4,cups    flour,NA
177187,2,cups    sugar,NA
177187,4,eggs,NA
177187,2,teaspoons    baking powder,NA
177187,24,ounces   hershy's semi-sweet chocolate chips,NA
118843,2,cups    butter,NA
118843,2,cups    white sugar,NA
118843,2,cups    brown sugar,NA
118843,4,large    eggs,NA
118843,2,teaspoons    vanilla,NA
118843,4,cups    flour,NA
118843,5,"cups    oatmeal, blended in food processor",NA
118843,1,teaspoon    salt,NA
118843,2,teaspoons    baking powder,NA
118843,2,teaspoons    baking soda,NA
118843,24,ounces    chocolate chips,NA
118843,1,"(12   ounce) box   Hershey's semi-sweet baking chocolate, grated",NA
118843,3,cups   chopped nuts,NA
142369,6,"tablespoons    butter, softened",NA
142369,1⁄3,cup    butter flavor shortening,NA
142369,1⁄2,cup   packed light brown sugar,NA
142369,1⁄3,cup    granulated sugar,NA
142369,1,egg,NA
142369,1 1⁄2,teaspoons    vanilla extract,NA
142369,1 1⁄4,cups    all-purpose flour,NA
142369,1⁄2,teaspoon    baking soda,NA
142369,1⁄2,teaspoon    salt,NA
142369,12,ounces   hershey's special dark chocolate chips,NA
142369,3⁄4,cup   chopped nuts (optional),NA
248962,1,"cup    unsalted butter, at room temperature",NA
248962,1,"cup    dark brown sugar, packed",NA
248962,1⁄2,cup    granulated sugar,NA
248962,2,large    eggs,NA
248962,1,teaspoon    vanilla extract,NA
248962,2 1⁄4,cups    all-purpose flour,NA
248962,1,teaspoon    salt,NA
248962,3⁄4,teaspoon    baking soda,NA
248962,1⁄2,cup    peanut butter chips,NA
248962,1⁄2,cup    toffee pieces,NA
248962,1⁄2,cup    miniature marshmallow,NA
248962,2,cups    semisweet chocolate chunks,NA
427531,1⁄2,cup    margarine,NA
427531,1⁄2,"cup    dark brown sugar, packed",NA
427531,1,egg,NA
427531,1,teaspoon    vanilla,NA
427531,1,teaspoon    cinnamon,NA
427531,1 1⁄2,cups    whole wheat flour,NA
427531,1,teaspoon    baking powder,NA
427531,1 1⁄2,cups    oats (not instant),NA
427531,1⁄2,cup    dark chocolate chips,NA
355169,1,"cup    butter, room temp",NA
355169,1,cup    white sugar,NA
355169,1,cup   packed brown sugar,NA
355169,2,eggs,NA
355169,2 1⁄2,teaspoons    vanilla extract,NA
355169,3,cups    all-purpose flour,NA
355169,1,teaspoon    baking soda,NA
355169,2 1⁄2,teaspoons    hot water,NA
355169,1⁄2,teaspoon    salt,NA
355169,2 1⁄2,cups    chocolate chips,NA
355169,1,cup   chopped walnuts (optional),NA
140867,2,(1 1/4  ounce)    unsweetened chocolate squares,NA
140867,1⁄2,cup    butter,NA
140867,2,cups    all-purpose flour,NA
140867,1⁄2,teaspoon    baking soda,NA
140867,1,teaspoon    baking powder,NA
140867,1⁄4,teaspoon    salt,NA
140867,1 1⁄4,cups    white sugar,NA
140867,2,large    eggs,NA
140867,1,teaspoon    vanilla extract,NA
140867,2⁄3,cup    sour cream,NA
140867,2,cups    semi-sweet chocolate chips,NA
120068,1,cup    butter flavor shortening,NA
120068,3⁄4,cup    white sugar,NA
120068,3⁄4,cup    brown sugar,NA
120068,2,eggs,NA
120068,2,teaspoons    vanilla extract,NA
